1,62,1
2,200,5
3,8,7
4,179,14
5,366,40
6,132,44
7,10,45
8,41,53
9,129,56
10,404,59
11,89,63
12,51,64
13,384,71
14,164,75
15,161,76
16,448,78
17,364,80
18,355,84
19,44,93
20,141,94
21,206,96
22,288,101
23,294,105
24,225,110
25,473,115
26,251,116
27,267,117
28,197,122
29,10,126
30,303,128
31,224,130
32,23,131
33,400,146
34,254,147
35,171,151
36,299,153
37,118,154
38,252,157
39,256,160
40,90,161
41,265,162
42,47,166
43,71,167
44,304,168
45,471,174
46,243,179
47,194,180
48,76,181
49,465,196
50,349,204
51,216,205
52,436,208
53,125,209
54,199,210
55,407,211
56,186,216
57,79,227
58,240,228
59,399,229
60,299,233
61,39,237
62,95,238
63,56,244
64,385,246
65,138,252
66,168,253
67,61,257
68,152,258
69,454,262
70,319,271
71,85,272
72,210,280
73,341,281
74,7,283
75,471,286
76,381,287
77,334,294
78,191,297
79,307,298
80,337,300
81,300,301
82,268,307
83,414,310
84,279,317
85,2,320
86,420,323
87,106,324
88,5,327
89,43,328
90,369,330
91,237,335
92,5,336
93,361,338
94,49,344
95,50,349
96,190,352
97,82,355
98,330,357
99,40,370
100,63,379
101,19,382
102,49,387
103,278,388
104,315,390
105,384,396
106,320,400
107,162,401
108,103,402
109,221,404
110,247,412
111,316,414
112,194,417
113,189,439
114,439,441
115,155,442
116,459,443
117,440,449
118,359,450
119,245,454
120,95,457
121,421,459
122,204,460
123,34,461
124,384,462
125,166,466
126,227,467
127,47,471
128,201,472
129,218,474
130,415,477
131,45,479
132,14,483
133,120,489
134,275,495
135,368,496
136,13,498
137,450,505
138,209,507
139,406,508
140,69,510
141,115,511
142,397,512
143,470,515
144,264,525
145,157,527
146,324,530
147,12,531
148,173,533
149,79,538
150,69,543
151,313,544
152,163,545
153,136,547
154,431,550
155,367,556
156,416,559
157,58,567
158,188,571
159,81,573
160,123,582
161,306,584
162,374,588
163,83,590
164,463,596
165,413,597
166,464,600
167,204,601
168,160,604
169,126,605
170,313,606
171,246,609
172,310,610
173,63,622
174,455,625
175,59,628
176,119,633
177,8,648
178,383,649
179,240,651
180,253,654
181,339,655
182,100,656
183,245,657
184,439,660
185,280,663
186,256,666
187,101,668
188,41,674
189,223,679
190,130,681
191,339,682
192,351,683
193,167,684
194,189,687
195,33,692
196,6,696
197,111,698
198,66,699
199,177,700
200,155,702
201,322,705
202,20,706
203,417,708
204,117,709
205,79,713
206,439,716
207,15,720
208,73,721
209,194,723
210,19,725
211,176,727
212,82,730
213,34,739
214,434,740
215,95,744
216,438,746
217,175,748
218,135,752
219,370,753
220,399,755
221,459,756
222,290,757
223,102,760
224,306,768
225,417,771
226,159,774
227,450,776
228,192,792
229,196,793
230,314,795
231,291,801
232,332,803
233,329,804
234,239,813
235,159,816
236,24,817
237,58,818
238,297,819
239,229,820
240,292,821
241,252,830
242,100,831
243,250,834
244,34,846
245,453,847
246,308,854
247,105,856
248,340,858
249,159,875
250,35,876
251,354,877
252,355,882
253,443,890
254,171,897
255,158,898
256,117,899
257,171,912
258,253,913
259,437,914
260,111,915
261,325,917
262,377,921
263,49,923
264,295,925
265,5,926
266,469,934
267,59,935
268,94,938
269,272,941
270,448,943
271,26,946
272,310,949
273,381,950
274,22,951
275,286,953
276,378,954
277,181,957
278,383,961
279,146,966
280,1,968
281,182,973
